Sample;Time;Device;X;Y;Z;qX;qY;qZ;qW;x;y;z
74;1439,7099;L;35,084;0,516;24,542;0,793547;0,5047119;-0,339806;-0,008994864;52,64698;295,3321;323,9229
74;1439,7099;R;35,11;0,498;24,886;-0,2919981;0,004999968;0,7679951;-0,5699963;60,76087;248,4164;44,20348
75;1460,8157;H;35,113;1,345;24,707;-0,001999695;-0,7838805;0,001999695;0,6209053;0,03734547;256,765;180,3219
75;1460,8157;L;35,083;0,514;24,544;0,7945925;0,5037417;-0,3388262;-0,0079959;52,66662;295,6884;324,2792
75;1460,8157;R;35,11;0,498;24,886;-0,2919981;0,004999968;0,7679951;-0,5699963;60,76087;248,4164;44,20348
76;1480,8523;H;35,113;1,345;24,707;-0,001999695;-0,7838805;0,001999695;0,6209053;0,03734547;256,765;180,3219
76;1480,8523;L;35,083;0,514;24,544;0,7945925;0,5037417;-0,3388262;-0,0079959;52,66662;295,6884;324,2792
76;1480,8523;R;35,104;0,498;24,886;-0,2931339;0,007003197;0,7673504;-0,5702603;60,5836;248,7827;44,63416
77;1500,7977;H;35,11;1,345;24,706;-0,001999371;-0,7847533;0;0,6198051;0,179796;256,6042;180,142
77;1500,7977;L;35,083;0,514;24,544;0,7945925;0,5037417;-0,3388262;-0,0079959;52,66662;295,6884;324,2792
77;1500,7977;R;35,104;0,498;24,886;-0,2931339;0,007003197;0,7673504;-0,5702603;60,5836;248,7827;44,63416
78;1520,7455;H;35,11;1,345;24,706;-0,001999371;-0,7847533;0;0,6198051;0,179796;256,6042;180,142
78;1520,7455;L;35,083;0,514;24,544;0,7945925;0,5037417;-0,3388262;-0,0079959;52,66662;295,6884;324,2792
78;1520,7455;R;35,104;0,498;24,886;-0,2931339;0,007003197;0,7673504;-0,5702603;60,5836;248,7827;44,63416
79;1540,8625;H;35,11;1,345;24,706;-0,001999371;-0,7847533;0;0,6198051;0,179796;256,6042;180,142
79;1540,8625;L;35,083;0,514;24,544;0,7945925;0,5037417;-0,3388262;-0,0079959;52,66662;295,6884;324,2792
79;1540,8625;R;35,104;0,498;24,886;-0,2931339;0,007003197;0,7673504;-0,5702603;60,5836;248,7827;44,63416
80;1560,793;H;35,11;1,345;24,706;-0,001999371;-0,7847533;0;0,6198051;0,179796;256,6042;180,142
80;1560,793;L;35,083;0,514;24,544;0,7945925;0,5037417;-0,3388262;-0,0079959;52,66662;295,6884;324,2792
80;1560,793;R;35,104;0,498;24,886;-0,2931339;0,007003197;0,7673504;-0,5702603;60,5836;248,7827;44,63416
81;1580,7866;H;35,11;1,345;24,706;-0,001999371;-0,7847533;0;0,6198051;0,179796;256,6042;180,142
81;1580,7866;L;35,082;0,512;24,546;0,7964385;0,5032771;-0,3351846;-0,007003857;52,84112;296,4164;324,7586
81;1580,7866;R;35,104;0,498;24,886;-0,2931339;0,007003197;0,7673504;-0,5702603;60,5836;248,7827;44,63416
82;1600,3447;H;35,11;1,345;24,706;-0,001999371;-0,7847533;0;0,6198051;0,179796;256,6042;180,142
82;1600,3447;L;35,082;0,512;24,546;0,7964385;0,5032771;-0,3351846;-0,007003857;52,84112;296,4164;324,7586
82;1600,3447;R;35,1;0,498;24,886;-0,294959;0,007998888;0,7668934;-0,5699208;60,39112;249,0847;44,85424
83;1621,6881;H;35,108;1,345;24,705;-0,003000177;-0,7900466;-0,002000118;0,6130362;0,4121234;255,6194;180,0297
83;1621,6881;L;35,082;0,512;24,546;0,7964385;0,5032771;-0,3351846;-0,007003857;52,84112;296,4164;324,7586
83;1621,6881;R;35,1;0,498;24,886;-0,294959;0,007998888;0,7668934;-0,5699208;60,39112;249,0847;44,85424
84;1639,9824;H;35,108;1,345;24,705;-0,003000177;-0,7900466;-0,002000118;0,6130362;0,4121234;255,6194;180,0297
84;1639,9824;L;35,082;0,512;24,546;0,7964385;0,5032771;-0,3351846;-0,007003857;52,84112;296,4164;324,7586
84;1639,9824;R;35,1;0,498;24,886;-0,294959;0,007998888;0,7668934;-0,5699208;60,39112;249,0847;44,85424
85;1660,6925;H;35,108;1,345;24,705;-0,003000177;-0,7900466;-0,002000118;0,6130362;0,4121234;255,6194;180,0297
85;1660,6925;L;35,082;0,512;24,546;0,7964385;0,5032771;-0,3351846;-0,007003857;52,84112;296,4164;324,7586
85;1660,6925;R;35,1;0,498;24,886;-0,294959;0,007998888;0,7668934;-0,5699208;60,39112;249,0847;44,85424
86;1680,3353;H;35,108;1,345;24,705;-0,003000177;-0,7900466;-0,002000118;0,6130362;0,4121234;255,6194;180,0297
